0.0, 0.0, 
0.01, 0.006564652157277019, 
0.02, 0.025771298715668252, 
0.03, 0.05679431667562925, 
0.04, 0.09869288766074137, 
0.05, 0.15042566725222425, 
0.06, 0.21086669669779987, 
0.07, 0.2788226536305415, 
0.08, 0.35305138467695935, 
0.09, 0.43228144143213487, 
0.1, 0.515231991857246, 
0.11, 0.600632448798217, 
0.12, 0.6872408941423774, 
0.13, 0.7738604569464345, 
0.14, 0.8593528485004898, 
0.15, 0.9426485815274461, 
0.16, 1.02275353190636, 
0.17, 1.0987519040006621, 
0.18, 1.1698058829406521, 
0.19, 1.235152486182617, 
0.2, 1.29409828471282, 
0.21, 1.346012693653716, 
0.22, 1.3903205846239564, 
0.23, 1.4264948986031483, 
0.24, 1.4540498633445487, 
0.25, 1.4725353386204372, 
0.26, 1.4815327184629794, 
0.27, 1.4806527410949821, 
0.28, 1.4695355003605468, 
0.29, 1.4478528880669108, 
0.3, 1.4153136499837613, 
0.31, 1.3716711719443004, 
0.32, 1.316734021532576, 
0.33, 1.250379131032416, 
0.34, 1.1725673014328193, 
0.35000000000000003, 1.083360420954385, 
0.36, 0.9829394244753564, 
0.37, 0.8716215934205799, 
0.38, 0.7498753615963741, 
0.39, 0.6183304392843003, 
0.4, 0.4777809058152022, 
0.41000000000000003, 0.3291791274297106, 
0.42, 0.17361888672168432, 
0.43, 0.012307229932362704, 
0.44, -0.15347416035298087, 
0.45, -0.3224156624193425, 
0.46, -0.49323083396227513, 
0.47000000000000003, -0.6647074635077658, 
0.48, -0.8357539871329482, 
0.49, -1.00543736971099, 
0.5, -1.173009819915375, 
0.51, -1.3379232494544575, 
0.52, -1.4998318859297846, 
0.53, -1.6585847100352529, 
0.54, -1.8142099945831687, 
0.55, -1.9668945767479846, 
0.56, -2.1169602741785987, 
0.5700000000000001, -2.2648394527871596, 
0.58, -2.4110511905454586, 
0.59, -2.5561788997421417, 
0.6, -2.70084974332211, 
0.61, -2.845715743755371, 
0.62, -2.9914361483760556, 
0.63, -3.1386603834752336, 
0.64, -3.288010804025122, 
0.65, -3.4400643772441386, 
0.66, -3.5953325793733084, 
0.67, -3.7542388887081812, 
0.68, -3.9170936407486, 
0.6900000000000001, -4.084066508589238, 
0.7000000000000001, -4.255157514977672, 
0.71, -4.430168294011571, 
0.72, -4.608676178142064, 
0.73, -4.790014408739528, 
0.74, -4.97326215423874, 
0.75, -5.15724794478694, 
0.76, -5.34056911294336, 
0.77, -5.521628167020915, 
0.78, -5.698684758814931, 
0.79, -5.869919348119767, 
0.8, -6.033502896977921, 
0.81, -6.187665733889668, 
0.8200000000000001, -6.330759134902023, 
0.8300000000000001, -6.461304593305565, 
0.84, -6.578027989861778, 
0.85, -6.679878314136569, 
0.86, -6.76603263409553, 
0.87, -6.835890409936766, 
0.88, -6.889060822738317, 
0.89, -6.925346703662367, 
0.9, -6.94472808298797, 
0.91, -6.947347565852093, 
0.92, -6.933498851883853, 
0.93, -6.903618880265644, 
0.9400000000000001, -6.858283309226095, 
0.9500000000000001, -6.79820443454142, 
0.96, -6.724230134119406, 
0.97, -6.6373420805643155, 
0.98, -6.53865131816426, 
0.99, -6.429389374928154, 
1.0, -6.310893491819405, 
1.01, -6.1845851510240015, 
1.02, -6.051942040037231, 
1.03, -5.914464569947375, 
1.04, -5.773639031190545, 
1.05, -5.630900131375561, 
1.06, -5.487595966433041, 
1.07, -5.344958206757043, 
1.08, -5.204079789839301, 
1.09, -5.065901212921076, 
1.1, -4.931205796759162, 
1.11, -4.800623167255558, 
1.12, -4.674639594669169, 
1.1300000000000001, -4.553613415850482, 
1.1400000000000001, -4.437793731336251, 
1.1500000000000001, -4.327340566236661, 
1.16, -4.222345142875872, 
1.17, -4.122849111058663, 
1.18, -4.028862050232752, 
1.19, -3.9403767544505564, 
1.2, -3.8573821705344358, 
1.21, -3.779873983270192, 
1.22, -3.7078629891052475, 
1.23, -3.6413814696999025, 
1.24, -3.580487823208776, 
1.25, -3.5252697090386054, 
1.26, -3.475845968145601, 
1.27, -3.432367558976548, 
1.28, -3.395017730471471, 
1.29, -3.3640116316962505, 
1.3, -3.339595534399054, 
1.31, -3.322045823296135, 
1.32, -3.3116678743553494, 
1.33, -3.3087949663921283, 
1.34, -3.313787205191099, 
1.35, -3.327030606350774, 
1.36, -3.3489362161888754, 
1.37, -3.379939224615341, 
1.3800000000000001, -3.4204978671541375, 
1.3900000000000001, -3.4710918121887655, 
1.4000000000000001, -3.5322195806008607, 
1.41, -3.6043943681340758, 
1.42, -3.6881374298001273, 
1.43, -3.783967970988767, 
1.44, -3.8923883075598527, 
1.45, -4.013862893632055, 
1.46, -4.148789880576211, 
1.47, -4.297464171405279, 
1.48, -4.460031690567637, 
1.49, -4.636435929580582, 
1.5, -4.826359853205205, 
1.51, -5.029168847156147, 
1.52, -5.243863153970814, 
1.53, -5.4690503192196935, 
1.54, -5.702948740724632, 
1.55, -5.943430608630928, 
1.56, -6.188107224520269, 
1.57, -6.434451254592918, 
1.58, -6.679941876681725, 
1.59, -6.922213136133059, 
1.6, -7.159184343713559, 
1.61, -7.389155721825097, 
1.62, -7.610860333729011, 
1.6300000000000001, -7.823472219018622, 
1.6400000000000001, -8.026577866843704, 
1.6500000000000001, -8.220122050052804, 
1.6600000000000001, -8.404339842058537, 
1.67, -8.579684956921653, 
1.68, -8.746761780827207, 
1.69, -8.90626550981353, 
1.7, -9.058932301439846, 
1.71, -9.20549967802158, 
1.72, -9.346676267157235, 
1.73, -9.48311947697031, 
1.74, -9.615419575773743, 
